response_id,start_date,end_date,story_condition,load_condition,cognitive_load_digits_response,cognitive_load_digits_correct_bool,vignette_condition_order,vignette_condition_position_1,vignette_condition_position_2,vignette_condition_position_3,first_vignette_distal_blame,first_vignette_distal_wrong,first_vignette_distal_punish,distal_blame_ch_minus_cc,distal_blame_div_minus_cc,proximate_blame_cc_minus_ch,distal_wrong_ch_minus_cc,distal_wrong_div_minus_cc,proximate_wrong_cc_minus_ch,distal_punish_ch_minus_cc,distal_punish_div_minus_cc,proximate_punish_cc_minus_ch,distal_blame_min_ch_div_minus_cc,distal_wrong_min_ch_div_minus_cc,distal_punish_min_ch_div_minus_cc,twoafc_bill_vs_clark,twoafc_ch_vs_cc,twoafc_div_vs_cc,distal_blame_cc,distal_blame_ch,distal_blame_div,distal_wrong_cc,distal_wrong_ch,distal_wrong_div,distal_punish_cc,distal_punish_ch,distal_punish_div,proximate_blame_cc,proximate_blame_ch,proximate_wrong_cc,proximate_wrong_ch,proximate_punish_cc,proximate_punish_ch,comprehension_probability_same_bool,comprehension_distal_necessary_bool,comprehension_bill_necessary_bool,comprehension_all_correct_bool,crt_score,individualism_horizontal,individualism_vertical,individualism_score,included,age,gender,race_compact,political_compact,duration_seconds,q_recaptcha_score,consent_form,cog_load_check,crt_bat_ball,crt_widgets,crt_lilly_pads,indcol_hi_1_1,indcol_hi_2_1,indcol_hi_3_1,indcol_vi_1_1,indcol_vi_2_1,indcol_vi_3_1,indcol_vi_4_1,indcol_hc_1_1,indcol_hc_2_1,indcol_hc_3_1,indcol_hc_4_1,indcol_vc_1_1,indcol_vc_2_1,indcol_vc_3_1,id,bill_minus_distal_cc_blame,bill_minus_distal_ch_blame,bill_minus_distal_cc_wrong,bill_minus_distal_ch_wrong,bill_minus_distal_cc_punish,bill_minus_distal_ch_punish,distal_cc_timing_first_click_seconds,distal_cc_timing_last_click_seconds,distal_cc_timing_last_minus_first_seconds,distal_ch_timing_first_click_seconds,distal_ch_timing_last_click_seconds,distal_ch_timing_last_minus_first_seconds,distal_div_timing_first_click_seconds,distal_div_timing_last_click_seconds,distal_div_timing_last_minus_first_seconds,proximate_cc_timing_first_click_seconds,proximate_cc_timing_last_click_seconds,proximate_cc_timing_last_minus_first_seconds,proximate_ch_timing_first_click_seconds,proximate_ch_timing_last_click_seconds,proximate_ch_timing_last_minus_first_seconds,comprehension_timing_first_click_seconds,comprehension_timing_last_click_seconds,comprehension_timing_last_minus_first_seconds
ROBOT_B4CE3947,2026-05-02 20:11:00,2026-05-02 20:11:00,trolley,low,63,True,CC-CH-DIV,CC,CH,DIV,7.0,6.0,4.0,1.0,1.0,8.0,2.0,1.0,8.0,3.0,2.0,10.0,1.0,1.0,2.0,,,,7.0,8.0,8.0,6.0,8.0,7.0,4.0,7.0,6.0,9.0,1.0,9.0,1.0,10.0,0.0,True,True,True,True,3.0,0.4791666666666667,0.2708333333333333,0.375,True,ROBOT_PARTICIPANT,ROBOT_PARTICIPANT,gemini-2.5-flash,ROBOT_PARTICIPANT,28,1,I CONSENT to participate in this study,63,5,5,47,7,6,7,4,3,5,4,8,7,7,6,8,7,8,ROBOT_B4CE3947,2.0,-7.0,3.0,-7.0,6.0,-7.0,,,,,,,,,,,,,,,,,,
ROBOT_64B99440,2026-05-02 20:11:00,2026-05-02 20:12:00,firework,low,63,True,DIV-CH-CC,DIV,CH,CC,7.0,7.0,3.0,0.0,-1.0,6.0,-1.0,-2.0,5.0,0.0,-1.0,5.0,-1.0,-2.0,-1.0,Bill > Clark,CH > CC,DIV ≤ CC,8.0,8.0,7.0,9.0,8.0,7.0,4.0,4.0,3.0,9.0,3.0,9.0,4.0,5.0,0.0,True,False,True,False,3.0,0.4322916666666667,0.3020833333333333,0.3671875,False,ROBOT_PARTICIPANT,ROBOT_PARTICIPANT,claude-sonnet-4-6,ROBOT_PARTICIPANT,40,1,I CONSENT to participate in this study,63,5,5,47,6,6,5,4,2,5,3,7,8,6,6,7,6,7,ROBOT_64B99440,1.0,-5.0,0.0,-4.0,1.0,-4.0,,,,,,,,,,,,,,,,,,
ROBOT_48049F12,2026-05-02 20:12:00,2026-05-02 20:13:00,trolley,high,8403259,True,CC-CH-DIV,CC,CH,DIV,5.0,6.0,2.0,1.0,2.0,6.0,1.0,2.0,6.0,1.0,3.0,6.0,1.0,1.0,1.0,Bill > Clark,CH < CC,DIV > CC,5.0,6.0,7.0,6.0,7.0,8.0,2.0,3.0,5.0,8.0,2.0,9.0,3.0,7.0,1.0,True,True,True,True,3.0,0.4479166666666667,0.33333333333333337,0.390625,True,ROBOT_PARTICIPANT,ROBOT_PARTICIPANT,gpt-4o,ROBOT_PARTICIPANT,29,1,I CONSENT to participate in this study,8403259,5,5,47,8,7,8,6,5,7,6,9,8,9,8,9,8,9,ROBOT_48049F12,3.0,-4.0,3.0,-4.0,5.0,-2.0,,,,,,,,,,,,,,,,,,
ROBOT_20523D87,2026-05-02 20:13:00,2026-05-02 20:13:00,firework,low,63,True,CC-CH-DIV,CC,CH,DIV,7.0,7.0,5.0,1.0,1.0,6.0,1.0,1.0,6.0,2.0,3.0,10.0,1.0,1.0,2.0,Bill > Clark,CH > CC,DIV > CC,7.0,8.0,8.0,7.0,8.0,8.0,5.0,7.0,8.0,9.0,3.0,9.0,3.0,10.0,0.0,True,True,True,True,3.0,0.4791666666666667,0.4166666666666667,0.4479166666666667,True,ROBOT_PARTICIPANT,ROBOT_PARTICIPANT,grok-3,ROBOT_PARTICIPANT,16,1,I CONSENT to participate in this study,63,5,5,47,7,6,7,5,3,4,4,8,7,6,7,6,5,5,ROBOT_20523D87,2.0,-5.0,2.0,-5.0,5.0,-7.0,,,,,,,,,,,,,,,,,,
ROBOT_DF84043F,2026-05-02 20:18:00,2026-05-02 20:18:00,firework,high,8403259,True,CC-CH-DIV,CC,CH,DIV,8.0,8.0,7.0,1.0,0.0,7.0,1.0,0.0,7.0,3.0,0.0,15.0,0.0,0.0,0.0,,,,8.0,9.0,8.0,8.0,9.0,8.0,7.0,10.0,7.0,9.0,2.0,9.0,2.0,15.0,0.0,True,True,True,True,3.0,0.4791666666666667,0.2864583333333333,0.3828125,True,ROBOT_PARTICIPANT,ROBOT_PARTICIPANT,gemini-2.5-flash,ROBOT_PARTICIPANT,29,1,I CONSENT to participate in this study,8403259,5,5,47,7,6,7,5,4,5,3,8,7,7,6,8,7,8,ROBOT_DF84043F,1.0,-7.0,1.0,-7.0,8.0,-10.0,,,,,,,,,,,,,,,,,,
ROBOT_C2E0FEE4,2026-05-02 20:18:00,2026-05-02 20:18:00,trolley,high,8403259,True,CH-CC-DIV,CH,CC,DIV,8.0,8.0,8.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,,,,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,1.0,8.0,1.0,8.0,5.0,True,True,True,True,3.0,0.4791666666666667,0.2864583333333333,0.3828125,True,ROBOT_PARTICIPANT,ROBOT_PARTICIPANT,gemini-2.5-flash,ROBOT_PARTICIPANT,34,1,I CONSENT to participate in this study,8403259,5,5,47,7,6,7,5,4,5,3,8,7,7,6,8,7,8,ROBOT_C2E0FEE4,0.0,-7.0,0.0,-7.0,0.0,-3.0,,,,,,,,,,,,,,,,,,
ROBOT_29609DE5,2026-05-02 20:20:00,2026-05-02 20:21:00,trolley,low,63,True,CC-CH-DIV,CC,CH,DIV,7.0,7.0,5.0,1.0,0.0,8.0,1.0,0.0,8.0,0.0,0.0,10.0,0.0,0.0,0.0,,,,7.0,8.0,7.0,7.0,8.0,7.0,5.0,5.0,5.0,9.0,1.0,9.0,1.0,10.0,0.0,True,True,True,True,3.0,0.4791666666666667,0.2708333333333333,0.375,True,ROBOT_PARTICIPANT,ROBOT_PARTICIPANT,gemini-2.5-flash,ROBOT_PARTICIPANT,45,1,I CONSENT to participate in this study,63,5,5,47,7,6,7,4,3,5,4,8,7,6,7,8,7,8,ROBOT_29609DE5,2.0,-7.0,2.0,-7.0,5.0,-5.0,,,,,,,,,,,,,,,,,,
ROBOT_E3923FD4,2026-05-02 20:21:00,2026-05-02 20:22:00,firework,low,63,True,DIV-CC-CH,DIV,CC,CH,7.0,6.0,5.0,2.0,1.0,5.0,2.0,1.0,5.0,3.0,2.0,7.0,1.0,1.0,2.0,Bill > Clark,CH > CC,DIV > CC,6.0,8.0,7.0,5.0,7.0,6.0,3.0,6.0,5.0,8.0,3.0,8.0,3.0,7.0,0.0,True,True,True,True,3.0,0.4791666666666667,0.4010416666666667,0.4401041666666667,True,ROBOT_PARTICIPANT,ROBOT_PARTICIPANT,grok-3,ROBOT_PARTICIPANT,16,1,I CONSENT to participate in this study,63,5,5,47,7,6,7,5,3,4,3,8,7,6,7,6,5,5,ROBOT_E3923FD4,2.0,-5.0,3.0,-4.0,4.0,-6.0,,,,,,,,,,,,,,,,,,
ROBOT_C38D70CB,2026-05-02 20:24:00,2026-05-02 20:24:00,trolley,high,8403259,True,CH-CC-DIV,CH,CC,DIV,8.0,8.0,5.0,1.0,-1.0,6.0,1.0,-1.0,5.0,1.0,-1.0,4.0,-1.0,-1.0,-1.0,Bill > Clark,CH < CC,DIV < CC,7.0,8.0,6.0,7.0,8.0,6.0,4.0,5.0,3.0,8.0,2.0,8.0,3.0,5.0,1.0,True,True,True,True,3.0,0.4635416666666667,0.33333333333333337,0.3984375,True,ROBOT_PARTICIPANT,ROBOT_PARTICIPANT,gpt-4o,ROBOT_PARTICIPANT,29,1,I CONSENT to participate in this study,8403259,5,5,47,8,7,8,6,5,7,6,9,9,8,7,9,8,9,ROBOT_C38D70CB,1.0,-6.0,1.0,-5.0,1.0,-4.0,,,,,,,,,,,,,,,,,,
ROBOT_B7315D07,2026-05-02 20:25:00,2026-05-02 20:25:00,firework,high,8403259,True,CH-DIV-CC,CH,DIV,CC,9.0,9.0,10.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,25.0,0.0,0.0,0.0,,,,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0,1.0,9.0,1.0,25.0,0.0,True,False,True,False,3.0,0.4791666666666667,0.2552083333333333,0.3671875,False,ROBOT_PARTICIPANT,ROBOT_PARTICIPANT,gemini-2.5-flash,ROBOT_PARTICIPANT,31,1,I CONSENT to participate in this study,8403259,5,5,47,7,6,7,4,3,5,3,8,7,6,7,8,7,8,ROBOT_B7315D07,0.0,-8.0,0.0,-8.0,15.0,-10.0,,,,,,,,,,,,,,,,,,
ROBOT_2172CD7D,2026-05-02 20:25:00,2026-05-02 20:25:00,firework,high,8403259,True,CC-CH-DIV,CC,CH,DIV,8.0,8.0,3.0,0.0,1.0,7.0,0.0,1.0,7.0,0.0,2.0,10.0,0.0,0.0,0.0,,,,8.0,8.0,9.0,8.0,8.0,9.0,3.0,3.0,5.0,9.0,2.0,9.0,2.0,10.0,0.0,True,True,True,True,3.0,0.4635416666666667,0.2708333333333333,0.3671875,True,ROBOT_PARTICIPANT,ROBOT_PARTICIPANT,gemini-2.5-flash,ROBOT_PARTICIPANT,29,1,I CONSENT to participate in this study,8403259,5,5,47,7,6,7,4,3,5,4,8,7,7,7,8,7,8,ROBOT_2172CD7D,1.0,-6.0,1.0,-6.0,7.0,-3.0,,,,,,,,,,,,,,,,,,
ROBOT_0242E83D,2026-05-02 20:25:00,2026-05-02 20:27:00,firework,high,8403259,True,DIV-CC-CH,DIV,CC,CH,8.0,9.0,10.0,2.0,1.0,7.0,1.0,1.0,5.0,7.0,2.0,15.0,1.0,1.0,2.0,Bill > Clark,CH > CC,DIV > CC,7.0,9.0,8.0,8.0,9.0,9.0,8.0,15.0,10.0,9.0,2.0,9.0,4.0,20.0,5.0,True,True,True,True,3.0,0.4583333333333333,0.28645833333333337,0.37239583333333337,True,ROBOT_PARTICIPANT,ROBOT_PARTICIPANT,gpt-4o,ROBOT_PARTICIPANT,125,1,I CONSENT to participate in this study,8403259,5,5,47,7,8,7,6,5,6,4,8,9,7,8,9,8,9,ROBOT_0242E83D,2.0,-7.0,1.0,-5.0,12.0,-10.0,,,,,,,,,,,,,,,,,,
ROBOT_BC62CD31,2026-05-02 20:27:00,2026-05-02 20:28:00,firework,high,8403259,True,CH-CC-DIV,CH,CC,DIV,7.0,7.0,5.0,-1.0,0.0,6.0,-1.0,0.0,6.0,-2.0,1.0,10.0,-1.0,-1.0,-2.0,Bill > Clark,CH > CC,DIV > CC,8.0,7.0,8.0,8.0,7.0,8.0,7.0,5.0,8.0,9.0,3.0,9.0,3.0,10.0,0.0,True,False,True,False,3.0,0.4791666666666667,0.3802083333333333,0.4296875,False,ROBOT_PARTICIPANT,ROBOT_PARTICIPANT,grok-3,ROBOT_PARTICIPANT,15,1,I CONSENT to participate in this study,8403259,5,5,47,7,6,7,5,3,4,3,8,7,6,7,6,5,6,ROBOT_BC62CD31,1.0,-4.0,1.0,-4.0,3.0,-5.0,,,,,,,,,,,,,,,,,,
ROBOT_62335149,2026-05-02 20:27:00,2026-05-02 20:28:00,trolley,high,8403259,True,CC-DIV-CH,CC,DIV,CH,7.0,6.0,2.0,0.0,-1.0,7.0,0.0,0.0,6.0,0.0,-1.0,3.0,-1.0,0.0,-1.0,Bill > Clark,CH > CC,DIV < CC,7.0,7.0,6.0,6.0,6.0,6.0,2.0,2.0,1.0,8.0,1.0,7.0,1.0,3.0,0.0,True,True,True,True,3.0,0.5416666666666667,0.4010416666666667,0.47135416666666674,True,ROBOT_PARTICIPANT,ROBOT_PARTICIPANT,grok-3,ROBOT_PARTICIPANT,15,1,I CONSENT to participate in this study,8403259,5,5,47,7,6,7,5,3,4,3,7,6,5,6,6,5,5,ROBOT_62335149,1.0,-6.0,1.0,-5.0,1.0,-2.0,,,,,,,,,,,,,,,,,,
ROBOT_80DCCF09,2026-05-02 20:36:00,2026-05-02 20:37:00,trolley,high,8403259,True,CC-CH-DIV,CC,CH,DIV,6.0,6.0,1.0,1.0,0.0,7.0,1.0,0.0,7.0,1.0,0.0,2.0,0.0,0.0,0.0,Bill > Clark,CH > CC,DIV ≥ CC,6.0,7.0,6.0,6.0,7.0,6.0,1.0,2.0,1.0,8.0,1.0,8.0,1.0,2.0,0.0,True,True,True,True,3.0,0.4479166666666667,0.3229166666666667,0.3854166666666667,True,ROBOT_PARTICIPANT,ROBOT_PARTICIPANT,claude-sonnet-4-6,ROBOT_PARTICIPANT,34,1,I CONSENT to participate in this study,8403259,5,5,47,6,6,5,4,2,5,3,7,7,6,6,7,5,7,ROBOT_80DCCF09,2.0,-6.0,2.0,-6.0,1.0,-2.0,,,,,,,,,,,,,,,,,,
ROBOT_7EECD8A7,2026-05-02 20:37:00,2026-05-02 20:38:00,firework,low,63,True,CH-CC-DIV,CH,CC,DIV,8.0,8.0,4.0,-1.0,0.0,5.0,-1.0,0.0,4.0,-2.0,-1.0,5.0,-1.0,-1.0,-2.0,Bill > Clark,CH > CC,DIV ≥ CC,9.0,8.0,9.0,9.0,8.0,9.0,6.0,4.0,5.0,8.0,3.0,8.0,4.0,5.0,0.0,True,True,True,True,3.0,0.4635416666666667,0.3020833333333333,0.3828125,True,ROBOT_PARTICIPANT,ROBOT_PARTICIPANT,claude-sonnet-4-6,ROBOT_PARTICIPANT,97,1,I CONSENT to participate in this study,63,5,5,47,6,6,5,4,2,5,3,7,7,5,6,7,6,7,ROBOT_7EECD8A7,-1.0,-5.0,-1.0,-4.0,-1.0,-4.0,,,,,,,,,,,,,,,,,,
ROBOT_64F07293,2026-05-02 20:38:00,2026-05-02 20:39:00,firework,low,63,True,CH-DIV-CC,CH,DIV,CC,8.0,9.0,10.0,0.0,1.0,6.0,0.0,0.0,4.0,-2.0,3.0,15.0,0.0,0.0,-2.0,Bill ≥ Clark,CH < CC,DIV > CC,8.0,8.0,9.0,9.0,9.0,9.0,12.0,10.0,15.0,9.0,3.0,9.0,5.0,20.0,5.0,True,True,True,True,3.0,0.4635416666666667,0.33333333333333337,0.3984375,True,ROBOT_PARTICIPANT,ROBOT_PARTICIPANT,gpt-4o,ROBOT_PARTICIPANT,37,1,I CONSENT to participate in this study,63,5,5,47,8,7,8,6,5,7,6,9,8,7,9,9,8,9,ROBOT_64F07293,1.0,-5.0,0.0,-4.0,8.0,-5.0,,,,,,,,,,,,,,,,,,
