response_id,start_date,end_date,story_condition,load_condition,cognitive_load_digits_response,cognitive_load_digits_correct_bool,vignette_condition_order,vignette_condition_position_1,vignette_condition_position_2,vignette_condition_position_3,first_vignette_distal_blame,first_vignette_distal_wrong,first_vignette_distal_punish,distal_blame_ch_minus_cc,distal_blame_div_minus_cc,proximate_blame_cc_minus_ch,distal_wrong_ch_minus_cc,distal_wrong_div_minus_cc,proximate_wrong_cc_minus_ch,distal_punish_ch_minus_cc,distal_punish_div_minus_cc,proximate_punish_cc_minus_ch,distal_blame_min_ch_div_minus_cc,distal_wrong_min_ch_div_minus_cc,distal_punish_min_ch_div_minus_cc,twoafc_bill_vs_clark,twoafc_ch_vs_cc,twoafc_div_vs_cc,distal_blame_cc,distal_blame_ch,distal_blame_div,distal_wrong_cc,distal_wrong_ch,distal_wrong_div,distal_punish_cc,distal_punish_ch,distal_punish_div,proximate_blame_cc,proximate_blame_ch,proximate_wrong_cc,proximate_wrong_ch,proximate_punish_cc,proximate_punish_ch,comprehension_probability_same_bool,comprehension_distal_necessary_bool,comprehension_bill_necessary_bool,comprehension_all_correct_bool,crt_score,individualism_horizontal,individualism_vertical,individualism_score,included,age,gender,race_compact,political_compact,duration_seconds,q_recaptcha_score,consent_form,cog_load_check,crt_bat_ball,crt_widgets,crt_lilly_pads,incdol_hi_1_1,indcol_hi_2_1,indcol_hi_3_1,indcol_vi_1_1,indcol_vi_2_1,indcol_vi_3_1,indcol_vi_4_1,indcol_hc_1_1,indcol_hc_2_1,indcol_hc_3_1,indcol_hc_4_1,indcol_vc_1_1,indcol_vc_2_1,indcol_vc_3_1,id,bill_minus_distal_cc_blame,bill_minus_distal_ch_blame,bill_minus_distal_cc_wrong,bill_minus_distal_ch_wrong,bill_minus_distal_cc_punish,bill_minus_distal_ch_punish,distal_cc_timing_first_click_seconds,distal_cc_timing_last_click_seconds,distal_cc_timing_last_minus_first_seconds,distal_ch_timing_first_click_seconds,distal_ch_timing_last_click_seconds,distal_ch_timing_last_minus_first_seconds,distal_div_timing_first_click_seconds,distal_div_timing_last_click_seconds,distal_div_timing_last_minus_first_seconds,proximate_cc_timing_first_click_seconds,proximate_cc_timing_last_click_seconds,proximate_cc_timing_last_minus_first_seconds,proximate_ch_timing_first_click_seconds,proximate_ch_timing_last_click_seconds,proximate_ch_timing_last_minus_first_seconds,comprehension_timing_first_click_seconds,comprehension_timing_last_click_seconds,comprehension_timing_last_minus_first_seconds
R_1MSrkP1csCfKVoP,2026-02-20 09:21:00,2026-02-20 09:36:00,firework,high,84053,False,DIV-CC-CH,DIV,CC,CH,5.0,5.0,10.0,1.0,-1.0,2.0,1.0,-1.0,2.0,0.0,-5.0,5.0,-1.0,-1.0,-5.0,Bill > Clark,CH > CC,DIV ≥ CC,6.0,7.0,5.0,6.0,7.0,5.0,15.0,15.0,10.0,9.0,7.0,9.0,7.0,20.0,15.0,True,True,True,True,2.0,0.5,0.5520833333333333,0.5260416666666666,True,19,Female,White,Liberal/progressive,910.0,1,I CONSENT to participate in this study,84053,5,100,47,6,6,6,6,(3) disagree,(7) agree,6,(5) neither agree nor disagree,6,(7) agree,6,(3) disagree,(7) agree,4,95113,3.0,0.0,3.0,0.0,5.0,0.0,56.179,69.947,13.768,23.796,33.081,9.285000000000004,205.663,230.727,25.063999999999993,63.571,116.234,52.663,19.531,26.848,7.317,17.552,32.131,14.579
R_5n7pWR3bPPcEsqn,2026-02-20 09:21:00,2026-02-20 09:38:00,trolley,low,63,True,CH-CC-DIV,CH,CC,DIV,8.0,8.0,5.0,3.0,3.0,5.0,2.0,2.0,5.0,4.0,4.0,10.0,3.0,2.0,4.0,Bill ≥ Clark,CH ≥ CC,DIV ≥ CC,5.0,8.0,8.0,6.0,8.0,8.0,1.0,5.0,5.0,8.0,3.0,8.0,3.0,10.0,0.0,True,True,True,True,0.0,0.328125,0.46875,0.3984375,True,19,Female,Self describe: Hispanic/Latino,Liberal/progressive,1019.0,1,I CONSENT to participate in this study,63,10,100,24,6,(3) disagree,6,6,4,(5) neither agree nor disagree,(3) disagree,(7) agree,6,(7) agree,(9) totally agree,4,(5) neither agree nor disagree,6,94063,3.0,-5.0,2.0,-5.0,9.0,-5.0,99.101,165.183,66.082,87.599,126.598,38.998999999999995,100.027,120.745,20.718000000000004,39.579,52.346,12.766999999999996,85.086,113.886,28.799999999999997,21.194,40.594,19.400000000000002
R_6SmOMHwEHKZF7J7,2026-02-20 09:33:00,2026-02-20 09:42:00,firework,high,840529,False,CC-DIV-CH,CC,DIV,CH,6.0,4.0,2.0,2.0,2.0,0.0,4.0,4.0,0.0,13.0,13.0,5.0,2.0,4.0,13.0,Bill > Clark,CH ≥ CC,DIV < CC,6.0,8.0,8.0,4.0,8.0,8.0,2.0,15.0,15.0,8.0,8.0,8.0,8.0,20.0,15.0,True,True,True,True,0.0,0.609375,0.4322916666666667,0.5208333333333334,True,18,Female,White,Liberal/progressive,542.0,0.899999976,I CONSENT to participate in this study,840529,10,100,24,8,(9) totally agree,(9) totally agree,4,(1) totally disagree,2,6,(7) agree,8,(7) agree,(7) agree,2,(9) totally agree,2,94373,2.0,0.0,4.0,0.0,18.0,0.0,5.093,92.544,87.451,4.25,44.016,39.766,2.032,48.648,46.616,11.623,36.122,24.499000000000002,10.855,21.423,10.567999999999998,1.076,22.826,21.75
R_5NziiC9phqcwdNz,2026-02-20 09:36:00,2026-02-20 09:59:00,trolley,low,63,True,CH-DIV-CC,CH,DIV,CC,8.0,8.0,5.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,Bill ≥ Clark,CH > CC,DIV ≥ CC,8.0,8.0,8.0,8.0,8.0,8.0,5.0,5.0,5.0,8.0,1.0,8.0,5.0,5.0,0.0,True,True,True,True,3.0,0.5,0.4427083333333333,0.47135416666666663,True,19,Female,White,Moderate,1366.0,1,I CONSENT to participate in this study,63,5,5,47,8,8,(7) agree,(5) neither agree nor disagree,6,6,6,8,(7) agree,8,(7) agree,6,(7) agree,(7) agree,94491,0.0,-7.0,0.0,-3.0,0.0,-5.0,94.107,98.24,4.132999999999996,87.958,196.157,108.19900000000001,88.623,100.718,12.094999999999999,101.435,106.847,5.411999999999992,31.338,46.469,15.131,6.689,29.02,22.331
R_14wKMCYQaGHkU9P,2026-02-20 09:53:00,2026-02-20 10:08:00,firework,high,8403529,False,CC-CH-DIV,CC,CH,DIV,6.0,6.0,1.0,1.0,1.0,-2.0,1.0,1.0,-1.0,1.0,0.0,-1.0,1.0,1.0,0.0,Bill ≥ Clark,CH > CC,DIV > CC,6.0,7.0,7.0,6.0,7.0,7.0,1.0,2.0,1.0,5.0,7.0,6.0,7.0,1.0,2.0,True,True,True,True,3.0,0.421875,0.3489583333333333,0.38541666666666663,True,18,Male,White,Liberal/progressive,902.0,1,I CONSENT to participate in this study,8403529,5,5,47,6,6,(7) agree,(5) neither agree nor disagree,2,6,4,(7) agree,8,8,8,6,(7) agree,(7) agree,94801,-1.0,0.0,0.0,0.0,0.0,0.0,127.606,147.668,20.062000000000012,43.802,63.04,19.238,28.441,40.859,12.418000000000003,33.221,54.711,21.490000000000002,26.999,38.953,11.954000000000004,11.714,39.504,27.79
R_6dBm4HUjCAyXUPg,2026-02-20 09:56:00,2026-02-20 10:10:00,firework,high,8403259,True,CH-CC-DIV,CH,CC,DIV,6.0,6.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,Bill ≥ Clark,CH > CC,DIV > CC,5.0,6.0,6.0,5.0,6.0,7.0,0.0,0.0,1.0,9.0,7.0,9.0,9.0,3.0,2.0,True,True,True,True,3.0,0.4375,0.6145833333333334,0.5260416666666667,True,18,Female,White,Liberal/progressive,861.0,1,I CONSENT to participate in this study,8403259,5,5,47,6,4,(7) agree,(7) agree,2,6,(7) agree,(7) agree,(7) agree,(7) agree,(5) neither agree nor disagree,4,4,(3) disagree,94536,4.0,1.0,4.0,3.0,3.0,2.0,76.465,85.254,8.789000000000001,0.704,105.619,104.915,0.909,59.435,58.526,13.347,31.385,18.038000000000004,0.764,63.395,62.631,0.843,32.01,31.166999999999998
R_5Cj5doKL6KdL7SO,2026-02-20 09:59:00,2026-02-20 10:11:00,trolley,low,63,True,CC-CH-DIV,CC,CH,DIV,8.0,8.0,50.0,0.0,0.0,3.0,0.0,0.0,3.0,-5.0,0.0,30.0,0.0,0.0,-5.0,Bill ≥ Clark,CH ≤ CC,DIV ≤ CC,8.0,8.0,8.0,8.0,8.0,8.0,50.0,45.0,50.0,8.0,5.0,8.0,5.0,50.0,20.0,True,True,True,True,0.0,0.46875,0.40625,0.4375,True,18,Female,White,Liberal/progressive,755.0,0.800000012,I CONSENT to participate in this study,63,10,100,24,6,(5) neither agree nor disagree,6,(5) neither agree nor disagree,4,(5) neither agree nor disagree,4,6,6,6,6,(7) agree,6,(5) neither agree nor disagree,95365,0.0,-3.0,0.0,-3.0,0.0,-25.0,89.968,113.901,23.932999999999993,38.208,44.993,6.785000000000004,71.524,78.881,7.356999999999999,78.504,84.709,6.204999999999998,13.661,23.694,10.033,7.706,55.071,47.364999999999995
R_3KTE3sSm1vhdkC5,2026-02-20 10:09:00,2026-02-20 10:22:00,trolley,low,63,True,DIV-CH-CC,DIV,CH,CC,6.0,7.0,2.0,3.0,0.0,4.0,0.0,-2.0,0.0,1.0,0.0,-2.0,0.0,-2.0,0.0,Bill ≥ Clark,CH > CC,DIV < CC,6.0,9.0,6.0,9.0,9.0,7.0,2.0,3.0,2.0,6.0,2.0,7.0,7.0,2.0,4.0,True,True,True,True,0.0,0.53125,0.4947916666666667,0.5130208333333334,True,19,Female,Asian,Liberal/progressive,782.0,0.800000012,I CONSENT to participate in this study,63,10,100,24,(7) agree,(7) agree,(7) agree,6,6,6,(3) disagree,(7) agree,6,(7) agree,6,(5) neither agree nor disagree,(7) agree,4,94820,0.0,-7.0,-2.0,-2.0,0.0,1.0,59.022,73.654,14.631999999999998,76.023,86.188,10.165000000000006,91.504,131.003,39.49899999999998,10.81,21.077,10.267000000000001,15.99,72.423,56.433,18.867,66.382,47.515
R_3ASB572021LOJl7,2026-02-20 10:04:00,2026-02-20 10:23:00,firework,high,8023459,False,CC-DIV-CH,CC,DIV,CH,7.0,7.0,4.0,2.0,2.0,0.0,2.0,2.0,0.0,3.0,3.0,-2.0,2.0,2.0,3.0,Bill ≤ Clark,CH > CC,DIV < CC,7.0,9.0,9.0,7.0,9.0,9.0,4.0,7.0,7.0,9.0,9.0,9.0,9.0,6.0,8.0,True,True,True,True,0.0,0.40625,0.3958333333333333,0.40104166666666663,True,18,Female,White,Liberal/progressive,1123.0,1,I CONSENT to participate in this study,8023459,10,20,24,6,4,6,4,(3) disagree,(3) disagree,6,(5) neither agree nor disagree,(7) agree,(7) agree,(7) agree,6,(5) neither agree nor disagree,6,94317,2.0,0.0,2.0,0.0,2.0,1.0,29.653,150.236,120.583,81.092,90.859,9.766999999999996,98.937,108.136,9.198999999999998,53.71,66.041,12.330999999999996,8.786,33.751,24.964999999999996,13.348,27.815,14.467
R_35KnLHffvfUuG89,2026-02-20 10:20:00,2026-02-20 10:39:00,firework,low,63,True,CC-DIV-CH,CC,DIV,CH,1.0,4.0,1.0,4.0,3.0,2.0,3.0,1.0,1.0,5.0,2.0,0.0,3.0,1.0,2.0,Bill > Clark,CH > CC,DIV ≥ CC,1.0,5.0,4.0,4.0,7.0,5.0,1.0,6.0,3.0,9.0,7.0,8.0,7.0,10.0,10.0,True,True,True,True,1.0,0.578125,0.34375,0.4609375,True,19,Female,White,Moderate,1152.0,1,I CONSENT to participate in this study,63,10,100,47,(9) totally agree,(9) totally agree,(9) totally agree,(7) agree,(3) disagree,6,2,(9) totally agree,(7) agree,8,(7) agree,(7) agree,(7) agree,(7) agree,94469,8.0,2.0,4.0,0.0,9.0,4.0,159.165,211.566,52.40100000000001,103.864,128.431,24.567000000000007,101.705,140.957,39.251999999999995,37.48,62.464,24.984,18.178,30.379,12.201,10.649,36.55,25.900999999999996
R_3YxpXISFSQyTE4e,2026-02-20 10:46:00,2026-02-20 11:03:00,trolley,high,8402259,False,CH-CC-DIV,CH,CC,DIV,8.0,8.0,8.0,1.0,1.0,8.0,2.0,1.0,8.0,1.0,-1.0,10.0,1.0,1.0,-1.0,Bill > Clark,CH < CC,DIV < CC,7.0,8.0,8.0,6.0,8.0,7.0,7.0,8.0,6.0,9.0,1.0,9.0,1.0,10.0,0.0,False,True,True,False,3.0,0.328125,0.296875,0.3125,False,20,Male,Asian,Moderate,984.0,0.5,I CONSENT to participate in this study,8402259,5,5,47,(7) agree,(5) neither agree nor disagree,(5) neither agree nor disagree,(7) agree,(3) disagree,6,(3) disagree,(7) agree,(9) totally agree,8,(7) agree,8,(7) agree,(9) totally agree,93473,2.0,-7.0,3.0,-7.0,3.0,-8.0,60.985,139.622,78.63700000000001,142.035,164.48,22.444999999999993,6.07,55.927,49.857,7.493,80.971,73.47800000000001,11.871,78.536,66.665,9.496,28.016,18.519999999999996
R_3CD3KL3hpm0Cmp6,2026-02-20 10:54:00,2026-02-20 11:09:00,trolley,high,8403259,True,CH-DIV-CC,CH,DIV,CC,7.0,7.0,3.0,3.0,1.0,1.0,4.0,4.0,1.0,3.0,2.0,0.0,1.0,4.0,2.0,Bill > Clark,CH > CC,DIV > CC,4.0,7.0,5.0,3.0,7.0,7.0,0.0,3.0,2.0,7.0,6.0,7.0,6.0,3.0,3.0,True,True,True,True,2.0,0.40625,0.4322916666666667,0.41927083333333337,True,18,Male,White,Nonpolitical,911.0,1,I CONSENT to participate in this study,8403259,5,100,47,(5) neither agree nor disagree,(5) neither agree nor disagree,(7) agree,6,(5) neither agree nor disagree,(7) agree,(7) agree,(7) agree,(7) agree,(9) totally agree,(7) agree,(7) agree,(7) agree,8,94909,3.0,-1.0,4.0,-1.0,3.0,0.0,46.675,72.231,25.555999999999997,102.381,136.7,34.31899999999999,80.042,106.476,26.433999999999997,25.395,36.086,10.690999999999999,60.009,74.325,14.316000000000003,13.698,27.548,13.849999999999998
R_3SyIjNNaQXBBC93,2026-02-20 11:08:00,2026-02-20 11:16:00,firework,high,8592403,False,CC-CH-DIV,CC,CH,DIV,4.0,5.0,1.0,1.0,0.0,-4.0,-1.0,-1.0,-3.0,0.0,0.0,-8.0,0.0,-1.0,0.0,Bill > Clark,CH < CC,DIV < CC,4.0,5.0,4.0,5.0,4.0,4.0,1.0,1.0,1.0,4.0,8.0,4.0,7.0,2.0,10.0,True,True,True,True,0.0,0.53125,0.5572916666666667,0.5442708333333334,True,19,Female,White,Nonpolitical,456.0,1,I CONSENT to participate in this study,8592403,10,100,24,(7) agree,(5) neither agree nor disagree,6,(5) neither agree nor disagree,(7) agree,6,(7) agree,2,6,6,6,(5) neither agree nor disagree,6,(5) neither agree nor disagree,93343,0.0,3.0,-1.0,3.0,1.0,9.0,15.077,79.076,63.998999999999995,16.254,23.337,7.082999999999998,17.413,23.462,6.0489999999999995,4.749,20.599,15.850000000000001,4.642,22.109,17.467000000000002,29.291,40.424,11.133
